anon_pr_id,reviewer,severity,verdict,has_unified_diff,has_suggestion_block,latency_min_to_finding,body_word_count_approx,created_date
PR031,coderabbitai,major,valid_fixed,1,0,4.5,276,2026-04-24
PR031,cursor,low,valid_fixed,0,0,,150,2026-04-24
PR031,cursor,medium,valid_fixed,0,0,,133,2026-04-24
PR031,cursor,low,valid_fixed,0,0,6.4,121,2026-04-24
PR031,coderabbitai,major,valid_fixed,1,1,,349,2026-04-24
PR032,coderabbitai,critical,valid_fixed,1,0,10.0,403,2026-04-24
PR032,seer,low,valid_fixed,0,0,,200,2026-04-24
PR032,cursor,medium,valid_fixed,0,0,,154,2026-04-24
PR032,coderabbitai,major,valid_fixed,1,0,,848,2026-04-24
PR032,cursor,high,false_positive,0,0,,151,2026-04-24
PR034,seer,low,valid_fixed,0,0,4.4,219,2026-04-24
PR034,cursor,medium,valid_fixed,0,0,6.1,130,2026-04-24
PR034,coderabbitai,major,pending,0,0,12.1,174,2026-04-24
PR034,coderabbitai,minor,pending,1,0,12.1,486,2026-04-24
PR034,cursor,medium,valid_fixed,0,0,5.7,154,2026-04-24
PR035,coderabbitai,major,valid_fixed,0,0,9.7,159,2026-04-24
PR036,cursor,medium,valid_fixed,0,0,5.5,132,2026-04-24
PR036,coderabbitai,critical,valid_fixed,1,0,,2008,2026-04-24
PR036,coderabbitai,major,valid_fixed,1,0,9.0,843,2026-04-24
PR036,coderabbitai,major,valid_fixed,0,0,,179,2026-04-24
PR036,coderabbitai,major,valid_fixed,1,0,,214,2026-04-24
PR036,coderabbitai,minor,valid_fixed,1,0,,157,2026-04-24
PR036,coderabbitai,minor,pending,1,1,18.9,275,2026-04-24
PR037,coderabbitai,minor,valid_fixed,1,0,11.6,1248,2026-04-24
PR037,cursor,medium,valid_fixed,0,0,4.2,134,2026-04-24
PR037,coderabbitai,major,valid_fixed,0,0,9.5,179,2026-04-24
PR037,coderabbitai,minor,valid_fixed,1,0,9.5,626,2026-04-24
PR037,coderabbitai,minor,valid_fixed,0,0,10.6,162,2026-04-24
PR037,cursor,medium,valid_fixed,0,0,6.0,132,2026-04-24
PR038,cursor,medium,valid_fixed,0,0,2.5,123,2026-04-24
PR038,seer,low,valid_fixed,0,0,2.7,182,2026-04-24
PR038,cursor,medium,valid_fixed,0,0,2.3,133,2026-04-24
PR038,seer,low,valid_fixed,0,0,2.8,193,2026-04-24
PR038,coderabbitai,minor,valid_fixed,1,1,11.9,328,2026-04-24
PR038,coderabbitai,major,valid_fixed,1,1,6.5,254,2026-04-24
PR038,coderabbitai,minor,valid_fixed,1,0,3.1,258,2026-04-24
PR039,seer,high,valid_fixed,0,0,2.6,169,2026-04-25
PR039,cursor,high,valid_fixed,0,0,3.7,110,2026-04-25
PR039,seer,high,valid_fixed,0,0,2.5,185,2026-04-25
PR039,coderabbitai,critical,false_positive,1,1,10.7,630,2026-04-25
PR039,coderabbitai,major,valid_fixed,1,1,10.8,494,2026-04-25
PR039,cursor,critical,false_positive,0,0,5.1,132,2026-04-25
PR039,seer,high,valid_fixed,0,0,4.1,184,2026-04-25
PR039,coderabbitai,major,valid_fixed,1,0,10.0,879,2026-04-25
PR039,cursor,low,valid_fixed,0,0,5.0,146,2026-04-25
PR040,cursor,medium,valid_fixed,0,0,6.8,150,2026-04-25
PR040,coderabbitai,major,valid_fixed,0,0,11.2,111,2026-04-25
PR040,coderabbitai,major,valid_fixed,0,0,11.2,178,2026-04-25
PR040,coderabbitai,major,valid_fixed,1,0,9.7,271,2026-04-25
PR040,coderabbitai,minor,valid_fixed,1,0,9.7,247,2026-04-25
PR040,coderabbitai,major,valid_fixed,1,0,9.7,281,2026-04-25
PR040,coderabbitai,major,false_positive,0,0,9.7,125,2026-04-25
PR040,seer,medium,valid_fixed,0,0,5.9,233,2026-04-25
PR040,coderabbitai,major,valid_fixed,1,0,11.1,417,2026-04-25
PR040,coderabbitai,minor,valid_fixed,1,0,10.5,630,2026-04-25
PR040,coderabbitai,minor,valid_fixed,0,0,11.2,182,2026-04-25
PR041,cursor,high,valid_fixed,0,0,7.0,93,2026-04-25
PR042,coderabbitai,minor,valid_fixed,1,1,11.9,209,2026-04-25
PR042,coderabbitai,major,false_positive,1,0,11.9,357,2026-04-25
PR042,coderabbitai,minor,valid_fixed,1,1,12.0,2498,2026-04-25
PR042,coderabbitai,major,valid_fixed,1,0,7.8,532,2026-04-25
PR043,coderabbitai,major,valid_fixed,1,0,9.3,194,2026-04-25
PR044,greptile,minor,valid_fixed,0,0,,81,2026-04-25
PR044,greptile,minor,valid_fixed,0,0,,94,2026-04-25
PR044,coderabbitai,major,valid_fixed,1,0,7.7,592,2026-04-25
PR044,coderabbitai,major,valid_fixed,1,1,7.7,1093,2026-04-25
PR045,seer,medium,valid_fixed,0,0,3.9,214,2026-04-26
PR045,seer,medium,valid_fixed,0,0,3.8,200,2026-04-26
PR045,cursor,medium,valid_fixed,0,0,5.7,115,2026-04-26
PR045,coderabbitai,major,valid_fixed,1,1,13.3,653,2026-04-26
PR045,cursor,medium,valid_fixed,0,0,,133,2026-04-26
PR045,cursor,medium,valid_fixed,0,0,5.5,151,2026-04-26
PR045,seer,low,valid_fixed,0,0,6.8,185,2026-04-26
PR046,cursor,low,valid_fixed,0,0,5.4,110,2026-04-26
PR046,cursor,low,valid_fixed,0,0,5.4,130,2026-04-26
PR046,seer,low,valid_fixed,0,0,5.8,178,2026-04-26
PR046,coderabbitai,major,valid_fixed,1,0,10.7,309,2026-04-26
PR046,coderabbitai,minor,valid_fixed,1,0,10.7,198,2026-04-26
PR046,coderabbitai,minor,valid_fixed,0,0,10.7,129,2026-04-26
PR046,coderabbitai,minor,valid_fixed,1,0,10.7,173,2026-04-26
PR046,coderabbitai,major,valid_fixed,1,0,10.7,403,2026-04-26
PR046,cursor,medium,valid_fixed,0,0,3.6,124,2026-04-26
PR046,cursor,low,valid_fixed,0,0,3.6,129,2026-04-26
PR046,coderabbitai,major,valid_fixed,0,0,13.3,170,2026-04-26
PR046,coderabbitai,major,valid_fixed,1,1,13.3,318,2026-04-26
PR046,coderabbitai,minor,valid_fixed,1,1,13.3,2499,2026-04-26
PR046,coderabbitai,major,valid_fixed,1,1,13.3,877,2026-04-26
PR048,greptile,minor,valid_fixed,0,0,4.1,108,2026-04-26
PR048,greptile,minor,valid_fixed,0,1,4.1,74,2026-04-26
PR048,greptile,minor,valid_fixed,0,0,4.1,59,2026-04-26
PR048,coderabbitai,major,valid_fixed,1,0,11.0,396,2026-04-26
PR048,coderabbitai,major,valid_fixed,1,0,11.0,508,2026-04-26
PR048,coderabbitai,minor,valid_fixed,1,0,,187,2026-04-26
PR048,cursor,medium,valid_fixed,0,0,13.3,132,2026-04-26
PR048,greptile,major,valid_fixed,0,0,4.2,219,2026-04-26
PR048,seer,medium,false_positive,0,0,,184,2026-04-26
PR048,coderabbitai,major,valid_fixed,1,1,9.5,406,2026-04-26
PR048,coderabbitai,major,valid_fixed,1,0,9.5,248,2026-04-26
PR048,seer,high,false_positive,0,0,3.3,180,2026-04-26
PR049,greptile,minor,valid_fixed,0,0,,167,2026-04-26
PR049,seer,medium,valid_fixed,0,0,4.6,204,2026-04-26
PR049,cursor,high,valid_fixed,0,0,,126,2026-04-26
PR050,greptile,minor,valid_fixed,0,0,5.3,56,2026-04-26
PR050,coderabbitai,major,valid_fixed,1,0,13.1,287,2026-04-26
PR050,seer,low,valid_fixed,0,0,5.8,205,2026-04-26
PR051,greptile,minor,valid_fixed,0,0,5.1,283,2026-04-26
PR051,greptile,minor,valid_fixed,0,0,5.2,305,2026-04-26
PR051,cursor,medium,valid_fixed,0,0,6.5,152,2026-04-26
PR051,coderabbitai,major,valid_fixed,1,0,12.9,874,2026-04-26
PR051,coderabbitai,major,valid_fixed,1,0,12.9,283,2026-04-26
PR051,coderabbitai,minor,valid_fixed,0,0,12.9,121,2026-04-26
PR051,coderabbitai,minor,valid_fixed,1,1,12.9,237,2026-04-26
PR051,seer,high,valid_fixed,0,0,4.7,185,2026-04-26
PR051,seer,medium,valid_fixed,0,0,3.6,192,2026-04-26
PR051,seer,medium,valid_fixed,0,0,4.0,171,2026-04-26
PR051,seer,low,false_positive,0,0,4.2,205,2026-04-26
PR051,coderabbitai,minor,valid_fixed,0,0,9.2,91,2026-04-26
PR052,greptile,minor,valid_fixed,0,0,2.7,243,2026-04-26
PR052,cursor,low,valid_fixed,0,0,-0.0,134,2026-04-26
PR052,coderabbitai,major,valid_fixed,0,0,13.5,182,2026-04-26
PR052,coderabbitai,minor,valid_fixed,0,0,13.5,142,2026-04-26
PR052,coderabbitai,minor,valid_fixed,1,0,9.4,172,2026-04-26
PR053,cursor,low,valid_fixed,0,0,,159,2026-04-26
PR053,coderabbitai,major,valid_fixed,1,0,,383,2026-04-26
PR053,coderabbitai,minor,valid_fixed,0,0,,177,2026-04-26
PR053,coderabbitai,minor,valid_fixed,1,0,14.3,192,2026-04-26
PR053,coderabbitai,minor,valid_fixed,1,1,14.3,367,2026-04-26
PR053,coderabbitai,minor,valid_fixed,1,0,,149,2026-04-26
PR053,seer,high,valid_fixed,0,0,,247,2026-04-26
PR053,cursor,low,false_positive,0,0,,137,2026-04-26
PR053,seer,low,valid_fixed,0,0,,196,2026-04-27
PR053,coderabbitai,minor,valid_fixed,0,0,14.7,155,2026-04-27
PR053,coderabbitai,minor,valid_fixed,1,1,14.7,232,2026-04-27
PR053,coderabbitai,minor,valid_fixed,1,0,9.9,213,2026-04-27
PR054,greptile,minor,valid_fixed,0,1,3.4,105,2026-04-27
PR054,greptile,minor,valid_fixed,0,1,3.5,369,2026-04-27
PR054,greptile,minor,valid_fixed,0,0,3.5,125,2026-04-27
PR054,coderabbitai,major,valid_fixed,1,0,,245,2026-04-27
PR054,coderabbitai,major,valid_fixed,1,0,,190,2026-04-27
PR054,coderabbitai,minor,valid_fixed,0,0,,207,2026-04-27
PR054,coderabbitai,minor,valid_fixed,0,0,,215,2026-04-27
PR054,coderabbitai,minor,valid_fixed,0,0,,135,2026-04-27
PR055,cursor,high,valid_fixed,0,0,,128,2026-04-27
PR055,greptile,major,valid_fixed,0,0,,269,2026-04-27
PR055,greptile,minor,valid_fixed,0,0,,231,2026-04-27
PR055,cursor,low,valid_fixed,0,0,,125,2026-04-27
PR055,coderabbitai,major,valid_fixed,1,0,7.8,630,2026-04-27
PR064,seer,high,valid_fixed,0,0,,217,2026-04-28
PR064,greptile,minor,valid_fixed,0,0,,227,2026-04-28
PR064,greptile,minor,valid_fixed,0,0,,285,2026-04-28
PR064,cursor,medium,valid_fixed,0,0,,149,2026-04-28
PR064,seer,high,valid_fixed,0,0,,195,2026-04-28
PR064,seer,medium,valid_fixed,0,0,,212,2026-04-28
PR064,cursor,high,valid_fixed,0,0,,121,2026-04-28
PR064,coderabbitai,minor,valid_fixed,1,1,,593,2026-04-28
PR064,coderabbitai,major,valid_fixed,1,0,,386,2026-04-28
PR064,coderabbitai,major,valid_fixed,1,0,,1049,2026-04-28
PR064,seer,low,valid_fixed,0,0,,258,2026-04-28
PR064,cursor,high,valid_fixed,0,0,,116,2026-04-28
PR064,cursor,medium,valid_fixed,0,0,,154,2026-04-28
PR064,cursor,low,valid_fixed,0,0,,130,2026-04-28
PR064,seer,high,valid_fixed,0,0,,206,2026-04-28
PR064,seer,medium,valid_fixed,0,0,,185,2026-04-28
PR064,seer,high,valid_fixed,0,0,,195,2026-04-28
PR064,seer,medium,valid_fixed,0,0,,209,2026-04-28
PR064,seer,medium,valid_fixed,0,0,,222,2026-04-28
PR058,greptile,minor,pending,0,1,2.6,211,2026-04-28
PR058,cursor,medium,valid_fixed,0,0,3.8,135,2026-04-28
PR064,seer,high,valid_fixed,0,0,,220,2026-04-28
PR064,coderabbitai,minor,valid_fixed,1,0,,306,2026-04-28
PR072,greptile,minor,valid_fixed,0,1,2.6,91,2026-04-28
PR072,coderabbitai,minor,valid_fixed,0,0,8.6,168,2026-04-28
PR064,cursor,medium,valid_fixed,0,0,,123,2026-04-28
PR064,coderabbitai,critical,valid_fixed,1,0,,396,2026-04-28
PR064,coderabbitai,major,valid_fixed,1,0,,402,2026-04-28
PR064,coderabbitai,major,valid_fixed,1,0,,318,2026-04-28
PR064,seer,medium,valid_fixed,0,0,,199,2026-04-28
PR064,cursor,low,valid_fixed,0,0,,129,2026-04-28
PR064,seer,medium,valid_fixed,0,0,,218,2026-04-28
PR064,coderabbitai,major,valid_fixed,0,0,,218,2026-04-28
PR059,greptile,minor,valid_fixed,0,1,4.5,151,2026-04-28
PR059,greptile,minor,valid_fixed,0,1,4.5,245,2026-04-28
PR059,greptile,minor,valid_fixed,0,1,4.5,301,2026-04-28
PR059,seer,medium,valid_fixed,0,0,4.6,204,2026-04-28
PR059,coderabbitai,major,valid_fixed,0,0,8.4,193,2026-04-28
PR059,coderabbitai,minor,valid_fixed,1,0,8.4,351,2026-04-28
PR059,coderabbitai,minor,valid_fixed,1,1,8.4,351,2026-04-28
PR059,coderabbitai,major,valid_fixed,0,0,8.4,213,2026-04-28
PR059,coderabbitai,minor,valid_fixed,1,1,8.4,305,2026-04-28
PR059,coderabbitai,minor,valid_fixed,1,0,3.6,192,2026-04-28
PR059,coderabbitai,major,valid_fixed,0,0,,154,2026-04-28
PR059,greptile,major,valid_fixed,0,0,,479,2026-04-28
PR059,cursor,medium,valid_fixed,0,0,,150,2026-04-28
PR059,coderabbitai,minor,valid_fixed,1,0,6.0,190,2026-04-28
PR059,cursor,medium,valid_fixed,0,0,,162,2026-04-28
PR059,seer,high,valid_fixed,0,0,,198,2026-04-28
PR059,coderabbitai,major,valid_fixed,1,0,3.9,507,2026-04-28
PR059,cursor,low,valid_fixed,0,0,8.3,134,2026-04-28
PR059,cursor,medium,valid_fixed,0,0,6.9,142,2026-04-28
PR064,seer,low,valid_fixed,0,0,,191,2026-04-28
PR064,cursor,low,valid_fixed,0,0,,135,2026-04-28
PR060,seer,low,valid_fixed,0,0,4.1,213,2026-04-29
PR060,greptile,minor,valid_fixed,0,1,5.0,205,2026-04-29
PR060,greptile,minor,valid_fixed,0,0,5.0,205,2026-04-29
PR060,greptile,minor,valid_fixed,0,0,5.0,261,2026-04-29
PR060,greptile,minor,valid_fixed,0,0,5.0,233,2026-04-29
PR060,cursor,medium,valid_fixed,0,0,5.7,135,2026-04-29
PR060,cursor,low,valid_fixed,0,0,5.7,132,2026-04-29
PR060,coderabbitai,major,valid_fixed,1,0,10.8,221,2026-04-29
PR060,coderabbitai,minor,valid_fixed,0,0,10.8,160,2026-04-29
PR060,coderabbitai,major,valid_fixed,0,0,10.8,164,2026-04-29
PR060,cursor,medium,valid_fixed,0,0,4.8,127,2026-04-29
PR060,coderabbitai,major,valid_fixed,1,0,11.4,254,2026-04-29
PR060,cursor,low,valid_fixed,0,0,5.9,131,2026-04-29
PR060,cursor,low,valid_fixed,0,0,5.9,118,2026-04-29
PR060,seer,low,valid_fixed,0,0,3.3,188,2026-04-29
PR060,cursor,low,valid_fixed,0,0,5.2,145,2026-04-29
PR060,coderabbitai,minor,valid_fixed,1,0,4.1,180,2026-04-29
PR060,cursor,low,valid_fixed,0,0,6.8,146,2026-04-29
PR064,seer,high,valid_fixed,0,0,,190,2026-04-29
PR064,cursor,low,false_positive,0,0,,128,2026-04-29
PR064,seer,high,valid_fixed,0,0,,196,2026-04-29
PR064,seer,low,valid_fixed,0,0,,175,2026-04-29
PR064,greptile,major,valid_fixed,0,0,,334,2026-04-29
PR064,cursor,medium,valid_fixed,0,0,,170,2026-04-29
PR062,greptile,minor,valid_fixed,0,0,3.5,179,2026-04-29
PR062,greptile,minor,valid_fixed,0,0,3.5,191,2026-04-29
PR062,cursor,low,valid_fixed,0,0,4.1,130,2026-04-29
PR062,coderabbitai,major,valid_fixed,0,0,9.9,164,2026-04-29
PR062,coderabbitai,major,valid_fixed,1,1,9.9,1279,2026-04-29
PR063,seer,medium,valid_fixed,0,0,,258,2026-04-29
PR063,cursor,low,valid_fixed,0,0,,129,2026-04-29
PR064,cursor,medium,valid_fixed,0,0,,146,2026-04-29
PR064,greptile,major,valid_fixed,0,0,,315,2026-04-29
PR064,cursor,high,valid_fixed,0,0,,151,2026-04-29
PR064,coderabbitai,major,valid_fixed,0,0,,182,2026-04-29
PR064,seer,medium,valid_fixed,0,0,,196,2026-04-29
PR064,seer,high,valid_fixed,0,0,,195,2026-04-29
PR064,cursor,medium,valid_fixed,0,0,,160,2026-04-29
PR064,cursor,low,valid_fixed,0,0,,130,2026-04-29
PR064,seer,medium,valid_fixed,0,0,,193,2026-04-29
PR064,seer,high,valid_fixed,0,0,,208,2026-04-29
PR064,cursor,medium,valid_fixed,0,0,,159,2026-04-29
PR064,seer,medium,valid_fixed,0,0,,209,2026-04-29
PR064,cursor,medium,valid_fixed,0,0,,123,2026-04-29
PR064,cursor,low,valid_fixed,0,0,,126,2026-04-29
PR064,greptile,major,valid_fixed,0,0,,285,2026-04-30
PR064,cursor,high,valid_fixed,0,0,,130,2026-04-30
PR064,seer,medium,pending,0,0,4.0,207,2026-04-30
PR065,greptile,minor,valid_fixed,0,1,2.8,179,2026-04-30
PR065,greptile,minor,valid_fixed,0,0,,167,2026-04-30
PR065,cursor,low,valid_fixed,0,0,5.5,116,2026-04-30
PR065,coderabbitai,major,valid_fixed,1,0,,587,2026-04-30
PR065,coderabbitai,minor,valid_fixed,1,1,,633,2026-04-30
PR065,seer,low,valid_fixed,0,0,,216,2026-04-30
PR065,coderabbitai,minor,valid_fixed,1,0,,236,2026-04-30
PR067,greptile,minor,valid_fixed,0,0,4.5,229,2026-04-30
PR067,greptile,minor,valid_fixed,0,0,,239,2026-04-30
PR067,greptile,minor,valid_fixed,0,0,,227,2026-04-30
PR067,cursor,high,valid_fixed,0,0,,128,2026-04-30
PR069,seer,medium,valid_fixed,0,0,2.7,219,2026-04-30
PR069,greptile,major,valid_fixed,0,0,3.2,247,2026-04-30
PR069,cursor,medium,valid_fixed,0,0,,142,2026-04-30
PR069,seer,medium,valid_fixed,0,0,3.4,197,2026-04-30
PR069,coderabbitai,major,valid_fixed,1,0,12.6,534,2026-04-30
PR069,cursor,low,valid_fixed,0,0,7.3,136,2026-04-30
PR070,greptile,major,valid_fixed,0,1,,337,2026-04-30
PR070,greptile,minor,valid_fixed,0,0,,225,2026-04-30
PR071,coderabbitai,minor,valid_fixed,1,0,11.8,238,2026-04-30
PR071,coderabbitai,minor,valid_fixed,0,0,11.8,217,2026-04-30
PR071,seer,high,false_positive,0,0,4.1,231,2026-04-30
PR072,seer,high,valid_fixed,0,0,3.9,198,2026-05-01
PR072,seer,high,valid_fixed,0,0,3.9,172,2026-05-01
PR072,seer,high,valid_fixed,0,0,3.2,181,2026-05-01
PR072,cursor,low,valid_fixed,0,0,,149,2026-05-01
PR072,cursor,medium,valid_fixed,0,0,,137,2026-05-01
PR072,seer,medium,valid_fixed,0,0,,174,2026-05-01
PR072,seer,medium,valid_fixed,0,0,2.3,182,2026-05-01
PR072,seer,high,valid_fixed,0,0,3.3,196,2026-05-01
PR074,greptile,minor,valid_fixed,0,0,,237,2026-05-01
PR074,seer,medium,valid_fixed,0,0,,180,2026-05-01
PR074,seer,low,valid_fixed,0,0,,204,2026-05-01
PR074,coderabbitai,major,valid_fixed,1,0,,291,2026-05-01
PR074,seer,medium,valid_fixed,0,0,,183,2026-05-01
PR074,seer,low,valid_fixed,0,0,,201,2026-05-01
PR074,coderabbitai,major,valid_fixed,1,1,7.8,261,2026-05-01
PR073,coderabbitai,minor,valid_fixed,1,0,,289,2026-05-01
PR073,coderabbitai,minor,valid_fixed,1,0,,226,2026-05-01
PR073,coderabbitai,major,valid_fixed,1,0,,390,2026-05-01
PR075,greptile,minor,valid_fixed,0,1,,231,2026-05-01
PR075,seer,high,valid_fixed,0,0,2.8,205,2026-05-01
PR075,coderabbitai,major,valid_fixed,1,0,3.7,467,2026-05-01
PR075,coderabbitai,major,valid_fixed,1,1,,535,2026-05-01
PR075,seer,high,valid_fixed,0,0,,189,2026-05-01
PR075,seer,high,valid_fixed,0,0,,212,2026-05-01
PR076,greptile,major,valid_fixed,0,0,,217,2026-05-02
PR076,coderabbitai,minor,valid_fixed,1,1,3.7,315,2026-05-02
PR076,coderabbitai,minor,valid_fixed,1,0,,183,2026-05-02
PR076,coderabbitai,minor,valid_fixed,1,1,2.7,280,2026-05-02
PR076,greptile,major,valid_fixed,0,1,2.1,193,2026-05-02
PR079,greptile,minor,valid_fixed,0,0,2.8,183,2026-05-02
PR079,greptile,minor,valid_fixed,0,0,,219,2026-05-02
PR079,greptile,minor,valid_fixed,0,0,,227,2026-05-02
PR079,seer,high,valid_fixed,0,0,,238,2026-05-02
PR081,greptile,minor,pending,0,0,2.1,233,2026-05-02
PR079,coderabbitai,major,valid_fixed,1,1,5.5,1268,2026-05-02
PR079,coderabbitai,minor,valid_fixed,1,0,5.5,204,2026-05-02
PR079,coderabbitai,minor,valid_fixed,1,0,,190,2026-05-02
PR081,coderabbitai,minor,valid_fixed,0,0,2.1,190,2026-05-02
PR079,seer,medium,valid_fixed,0,0,3.0,248,2026-05-02
PR079,greptile,major,valid_fixed,0,0,,349,2026-05-02
PR108,seer,critical,valid_fixed,0,0,,210,2026-05-02
PR108,greptile,major,valid_fixed,0,0,,329,2026-05-02
PR108,greptile,minor,valid_fixed,0,0,,153,2026-05-02
PR108,greptile,minor,valid_fixed,0,0,,187,2026-05-02
PR108,cursor,medium,valid_fixed,0,0,,138,2026-05-02
PR108,coderabbitai,minor,valid_fixed,1,1,,220,2026-05-02
PR108,coderabbitai,major,valid_fixed,0,0,,336,2026-05-02
PR108,coderabbitai,major,valid_fixed,0,0,,134,2026-05-02
PR079,coderabbitai,critical,valid_fixed,0,0,,305,2026-05-02
PR080,coderabbitai,minor,valid_fixed,1,1,2.9,407,2026-05-02
PR108,seer,medium,valid_fixed,0,0,,199,2026-05-02
PR082,coderabbitai,minor,valid_fixed,0,0,,157,2026-05-02
PR108,cursor,low,false_positive,0,0,,102,2026-05-02
PR108,greptile,major,valid_fixed,0,0,,369,2026-05-02
PR083,greptile,minor,valid_fixed,0,1,,241,2026-05-02
PR083,coderabbitai,major,valid_fixed,0,0,5.3,402,2026-05-02
PR083,coderabbitai,major,valid_fixed,0,0,5.3,224,2026-05-02
PR083,seer,medium,valid_fixed,0,0,4.5,247,2026-05-02
PR108,seer,high,valid_fixed,0,0,,174,2026-05-02
PR108,cursor,medium,valid_fixed,0,0,,147,2026-05-02
PR108,cursor,high,valid_fixed,0,0,,154,2026-05-02
PR084,greptile,minor,valid_fixed,0,0,3.8,153,2026-05-02
PR084,coderabbitai,major,pending,0,0,,169,2026-05-02
PR085,greptile,major,valid_fixed,0,1,4.7,279,2026-05-02
PR085,greptile,minor,valid_fixed,0,0,4.8,227,2026-05-02
PR085,seer,low,valid_fixed,0,0,6.1,229,2026-05-02
PR085,coderabbitai,minor,valid_fixed,1,1,3.5,204,2026-05-02
PR085,seer,low,valid_fixed,0,0,3.5,195,2026-05-02
PR087,coderabbitai,minor,valid_fixed,1,1,10.1,279,2026-05-03
PR087,coderabbitai,major,pending,1,1,,246,2026-05-03
PR087,coderabbitai,major,pending,1,1,,343,2026-05-03
PR108,coderabbitai,major,valid_fixed,0,0,,180,2026-05-03
PR108,coderabbitai,major,valid_fixed,1,0,,170,2026-05-03
PR108,coderabbitai,minor,valid_fixed,1,1,,283,2026-05-03
PR108,coderabbitai,major,valid_fixed,0,0,,117,2026-05-03
PR108,coderabbitai,major,valid_fixed,0,0,,154,2026-05-03
PR108,coderabbitai,minor,valid_fixed,1,0,,333,2026-05-03
PR088,coderabbitai,major,valid_fixed,1,0,,301,2026-05-03
PR088,coderabbitai,major,pending,1,1,,240,2026-05-03
PR088,coderabbitai,major,pending,1,1,,284,2026-05-03
PR088,coderabbitai,major,pending,1,0,,212,2026-05-03
PR088,coderabbitai,minor,pending,0,0,,168,2026-05-03
PR088,coderabbitai,minor,valid_fixed,0,0,,168,2026-05-03
PR088,coderabbitai,major,valid_fixed,0,0,,176,2026-05-03
PR088,coderabbitai,major,pending,1,0,,209,2026-05-03
PR088,coderabbitai,minor,pending,0,0,,156,2026-05-03
PR088,coderabbitai,major,valid_fixed,0,0,,160,2026-05-03
PR088,coderabbitai,major,pending,1,0,,221,2026-05-03
PR088,coderabbitai,major,pending,1,0,,659,2026-05-03
PR088,coderabbitai,major,pending,1,1,,278,2026-05-03
PR088,coderabbitai,major,pending,1,0,,354,2026-05-03
PR088,coderabbitai,major,pending,1,0,,253,2026-05-03
PR089,coderabbitai,minor,valid_fixed,0,0,4.3,155,2026-05-03
PR089,coderabbitai,minor,valid_fixed,1,0,4.3,170,2026-05-03
PR090,cursor,medium,valid_fixed,0,0,7.1,119,2026-05-03
PR090,cursor,low,valid_fixed,0,0,7.1,122,2026-05-03
PR090,coderabbitai,minor,valid_fixed,0,0,,212,2026-05-03
PR090,coderabbitai,minor,valid_fixed,1,1,10.4,198,2026-05-03
PR090,cursor,low,valid_fixed,0,0,6.3,140,2026-05-03
PR090,seer,high,valid_fixed,0,0,,225,2026-05-03
PR090,coderabbitai,major,valid_fixed,1,0,,716,2026-05-03
PR090,coderabbitai,major,valid_fixed,1,0,11.3,206,2026-05-03
PR091,greptile,minor,valid_fixed,0,1,,409,2026-05-04
PR091,coderabbitai,minor,valid_fixed,1,1,11.4,189,2026-05-04
PR091,coderabbitai,minor,valid_fixed,0,0,11.4,188,2026-05-04
PR091,coderabbitai,major,valid_fixed,0,0,11.4,400,2026-05-04
